name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,Cuauhtémoc,19.44262,-99.14566,Private room,410,1,123,1.22,6,365
Well located on calm neighborhood,4410326,Fernando,Benito Juárez,19.38265,-99.18203,Private room,460,2,8,0.08,1,269
Half a block from the U.S Embassy,2239368,Cahir,Cuauhtémoc,19.43185,-99.16826,Private room,1424,2,1,0.01,1,365
"airy, lovely room in residence, La casa de todos",3991683,Leonora,Coyoacán,19.34392,-99.16939,Private room,621,3,11,0.12,6,364
Business Suite RED near Reforma Av.,3850198,Hermann,Cuauhtémoc,19.43078,-99.17011,Hotel room,1130,2,30,0.31,10,355
"Lovely comfortable room facing garden, Coyoacán",3991683,Leonora,Coyoacán,19.34557,-99.17152,Private room,620,3,5,0.05,6,365
"Delightful comfortable garden room, Dalia",3991683,Leonora,Coyoacán,19.34434,-99.1713,Private room,659,3,3,0.03,6,5
"Delightful room facing garden oasis, Jacaranda",3991683,Leonora,Coyoacán,19.34538,-99.17121,Hotel room,678,3,11,0.11,6,364
"Lovely comfortable room facing garden, Alcatraz",3991683,Leonora,Coyoacán,19.34562,-99.17087,Hotel room,616,3,8,0.09,6,364
Business Suite PURPLE near Reforma,3850198,Hermann,Cuauhtémoc,19.43068,-99.17007,Hotel room,808,2,35,0.43,10,345
Business Suite BLUE near Reforma Av,3850198,Hermann,Cuauhtémoc,19.4306,-99.17074,Entire home/apt,804,2,18,0.18,10,5
Business Suite BLACK near Reforma,3850198,Hermann,Cuauhtémoc,19.43052,-99.17003,Hotel room,911,2,18,0.28,10,326
The Best and most Beautiful  :),2039132,Justino,Cuauhtémoc,19.41802,-99.16141,Entire home/apt,1770,2,32,0.32,1,146
"1 bedroom apt BEST location, BALCONY, ROOFTOP 50Mb",4796027,Marco,Cuauhtémoc,19.42063,-99.16586,Entire home/apt,1385,2,49,0.5,3,231
Se renta habitación en el centro,2875548,Martha,Cuauhtémoc,19.4245,-99.13802,Private room,1275,1,0,0.0,1,0
"Room in Mexico City, Coyoacan.",5019262,Bruni,Coyoacán,19.3275,-99.14288,Private room,289,1,2,0.09,1,365
Radiant Apartment with Terrace in Roma Norte,4821807,Alex,Cuauhtémoc,19.42288,-99.15488,Entire home/apt,1436,3,405,4.17,4,305
NEW! HISTORIC BUILDING -BEST STREET,5479592,Lorenzo,Cuauhtémoc,19.41434,-99.15857,Entire home/apt,1231,2,351,3.66,1,348
Private en suite in City house,5540061,Julian,Cuauhtémoc,19.43817,-99.15466,Private room,825,3,9,0.1,1,330
"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo,Coyoacán,19.34034,-99.18345,Private room,288,2,47,0.52,2,317
"Polanco close to Carso, HBO/55 mb internet",3151394,Monica,Miguel Hidalgo,19.44325,-99.20191,Entire home/apt,1575,5,69,0.87,1,165
Chilango chic: room in cozy apartment Condesa DF,1809694,Deborah,Cuauhtémoc,19.40592,-99.1691,Private room,804,2,23,0.24,1,364
"Villa Alfonsina, Heart of Coyoacan",5870021,Minerva,Coyoacán,19.35445,-99.16251,Private room,825,1,143,1.59,5,4
Apartment at south of Mexico city,5975456,Pamela,Coyoacán,19.30461,-99.18307,Private room,450,1,26,0.34,1,331
Bedroom for rent,6083480,Juan Carlos,Iztapalapa,19.32227,-99.09046,Private room,316,1,1,0.02,1,365
Apartment well located in Mexico DF,6171755,Hector,Benito Juárez,19.37205,-99.16908,Private room,2054,2,0,0.0,1,0
"Comfort, convenience & security, all in one place",333131090,Octavio David,Benito Juárez,19.36763,-99.17944,Entire home/apt,687,2,16,0.18,1,347
"Location & security, double bedroom apartment",6203086,Jose,Benito Juárez,19.36613,-99.17831,Private room,350,2,7,0.11,3,349
"Cuarto Amplio con Estudio, Roma DF.",6393641,José,Cuauhtémoc,19.41491,-99.15684,Private room,479,3,105,1.11,1,67
"Renew Room, near to Condesa",6409883,Pato,Benito Juárez,19.39174,-99.18851,Private room,433,3,17,0.2,2,365
Suite 1 - Suites Condesa Mexico,4326326,Rodrigo,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,900,120,50,0.53,5,365
"Private Room & Terrace in La Condesa, Mexico City",6598890,Mng,Cuauhtémoc,19.40623,-99.17324,Private room,700,2,1,0.02,1,88
Room & bathroom in great house!,212109,Trisha,Coyoacán,19.35529,-99.163,Private room,1031,5,20,0.22,3,177
Cosy apartment in Polanco near park,6688806,Anne,Miguel Hidalgo,19.42834,-99.19382,Entire home/apt,1978,3,21,0.3,1,60
Small apartment in Coyoacan,4079778,Rosa Maria,Coyoacán,19.34242,-99.15955,Private room,349,1,2,0.02,5,0
Contemporary apt. in historic spot,5525131,Yolanda,Cuauhtémoc,19.4336,-99.13224,Entire home/apt,1013,6,4,0.04,1,335
"Comfortable, beautiful and convenient pied à terre",6998716,Maria,Miguel Hidalgo,19.43545,-99.18216,Entire home/apt,928,4,20,0.36,1,338
¡ Hermosa habitación en la Ciudad de México !,7116734,Mafer,Coyoacán,19.34368,-99.12719,Private room,300,3,1,0.03,4,244
Comfortable stay at sunny flat,7189850,Monica,Benito Juárez,19.38352,-99.16603,Private room,500,1,3,0.04,1,363
Beautiful flat in amazing location,6775211,Marie Christine,Miguel Hidalgo,19.43009,-99.19555,Entire home/apt,1978,6,44,0.56,1,89
WTC Panoramic Penthouse room w/own bath,7271395,Miguel Angel,Benito Juárez,19.39219,-99.17705,Private room,670,3,213,2.4,1,11
"Hermosa recámara, cerca La Condesa",6409883,Pato,Benito Juárez,19.39165,-99.18885,Private room,431,3,26,0.28,2,365
Prívate apartment next to public transport,2492211,Daniel,Benito Juárez,19.39829,-99.13817,Entire home/apt,420,8,35,1.12,1,100
Chic Room in Luxury Polanco,7477163,Rodrigo,Miguel Hidalgo,19.42903,-99.19238,Private room,1744,2,116,1.31,1,365
mini room good price 4 longer stay,2269083,Alondra,Miguel Hidalgo,19.44542,-99.18627,Private room,206,2,4,0.05,5,303
Apartment Malintzin 2,7007289,David,Benito Juárez,19.36523,-99.1392,Entire home/apt,650,3,0,0.0,2,365
Habitación disponible,7569372,Paola,Miguel Hidalgo,19.40427,-99.17928,Private room,694,2,1,0.08,1,365
HOUSE INDIGO IN THE CEN. OF MEX CITY,3777702,Abraham,Cuauhtémoc,19.44324,-99.14649,Private room,412,1,162,1.8,6,365
SPOTLESS beautiful sunny loft in Del Valle,5341352,Maria Giselle,Benito Juárez,19.38015,-99.17402,Entire home/apt,871,3,112,1.21,2,266
Modern Suite in Roma Mansion,7609684,Juan Carlos,Cuauhtémoc,19.41702,-99.16712,Entire home/apt,1100,3,256,2.77,3,158
